cycle_id,side,entry_ts,exit_ts,avg_entry,exit_price,original_size,max_size,leverage,tier,exit_reason,adds_count,bars_held,total_pnl,total_commission,rsi_at_open,macd_hist_at_open,adx_at_open,fg_at_open,funding_at_open,divergence_at_open
C0001,short,2026-06-18 00:33:00+00:00,2026-06-18 00:58:00+00:00,3206.3589,3195.6367,2.337727,2.5715,15.0,C,trail_sl,1,6,24.1929,3.5851,66.4,0.9187,22.25,57.4,-0.0672,no_data
C0002,short,2026-06-18 01:13:00+00:00,2026-06-18 02:23:00+00:00,3216.5972,3203.7039,2.330132,2.563145,15.0,C,trail_sl,1,15,29.6301,3.5825,67.04,0.8169,27.15,57.4,-0.0672,no_data
C0003,short,2026-06-18 04:53:00+00:00,2026-06-18 05:18:00+00:00,3230.0257,3209.9679,2.321963,2.321963,15.0,B,trail_sl,0,6,43.3029,2.9814,65.61,3.6441,35.1,57.4,-0.0672,no_data
C0004,short,2026-06-18 08:08:00+00:00,2026-06-18 11:53:00+00:00,3265.4398,3271.8538,2.296781,2.296781,15.0,B,macd_rev,0,46,-17.7664,3.0059,70.17,5.1378,24.05,57.4,-0.066,no_data
C0005,short,2026-06-18 12:23:00+00:00,2026-06-18 12:48:00+00:00,3290.3285,3256.4879,2.277694,2.505463,15.0,B,trail_sl,1,6,80.6507,3.5611,66.4,3.1771,20.38,57.4,-0.066,no_data
C0006,short,2026-06-18 17:38:00+00:00,2026-06-18 19:13:00+00:00,3296.9024,3277.4188,2.274863,2.274863,15.0,B,trail_sl,0,20,41.0783,2.9823,69.97,3.1645,19.13,57.4,-0.0637,no_data
C0007,short,2026-06-19 00:18:00+00:00,2026-06-19 00:53:00+00:00,3284.2311,3299.5165,2.28364,2.28364,15.0,B,ranging_close,0,8,-38.0829,3.014,66.8,3.0866,17.1,52.1,-0.0758,no_data
C0008,short,2026-06-19 05:23:00+00:00,2026-06-19 05:38:00+00:00,3325.2914,3315.3381,2.255441,2.255441,15.0,B,trail_sl,0,4,19.3908,2.991,65.59,4.0458,18.55,52.1,-0.0758,no_data
C0009,short,2026-06-19 06:23:00+00:00,2026-06-19 06:58:00+00:00,3338.0386,3324.9881,2.246828,2.246828,15.0,B,trail_sl,0,8,26.2195,2.9883,66.09,1.3509,17.56,52.1,-0.0758,no_data
C0010,short,2026-06-19 21:08:00+00:00,2026-06-19 22:23:00+00:00,3104.3881,3106.4006,4.83187,4.83187,15.0,B,macd_rev,0,16,-15.7345,6.0039,66.45,3.2341,33.12,52.1,-0.0404,no_data
C0011,short,2026-06-20 02:18:00+00:00,2026-06-20 02:38:00+00:00,3105.6467,3096.7525,4.829912,4.829912,15.0,B,trail_sl,0,5,36.8525,5.9828,66.87,5.62,33.51,47.7,-0.0409,no_data
C0012,short,2026-06-20 04:23:00+00:00,2026-06-20 05:18:00+00:00,3124.3774,3081.8788,4.792732,5.703352,15.0,C,trail_sl,2,12,232.0563,8.1585,66.41,0.4757,33.32,47.7,-0.0409,no_data
C0013,short,2026-06-20 08:08:00+00:00,2026-06-20 08:28:00+00:00,3136.2593,3117.4556,4.782768,4.782768,15.0,B,trail_sl,0,5,83.4305,5.964,67.1,2.9663,16.03,47.7,-0.0409,no_data
C0014,short,2026-06-21 00:43:00+00:00,2026-06-21 01:03:00+00:00,3040.211,3019.9034,4.933868,4.933868,15.0,B,trail_sl,0,5,93.5661,5.9599,65.36,3.8942,16.85,47.8,-0.017,no_data
C0015,short,2026-06-21 15:08:00+00:00,2026-06-21 16:38:00+00:00,2856.5306,2833.0308,5.248118,5.77293,15.0,B,trail_sl,1,19,128.0045,7.1382,74.92,3.2756,16.28,47.8,-0.0165,no_data
C0016,short,2026-06-21 18:18:00+00:00,2026-06-21 18:53:00+00:00,2879.1765,2859.118,5.209823,5.209823,15.0,B,trail_sl,0,8,97.815,5.9582,72.38,4.3596,17.51,47.8,-0.0025,no_data
C0017,short,2026-06-21 21:03:00+00:00,2026-06-21 21:18:00+00:00,2889.1723,2920.9033,5.191798,5.191798,15.0,B,sl,0,4,-172.6165,6.0659,67.21,3.2031,24.47,47.8,-0.0025,no_data
C0018,short,2026-06-21 21:23:00+00:00,2026-06-21 22:08:00+00:00,2922.6153,2955.4045,5.132389,5.132389,15.0,B,sl,0,10,-176.2423,6.0673,77.17,5.8438,26.57,47.8,-0.0025,no_data
C0019,short,2026-06-21 22:13:00+00:00,2026-06-21 23:03:00+00:00,2946.5425,2936.4654,5.08723,5.595953,15.0,C,trail_sl,1,11,49.6254,7.1684,74.15,2.0104,27.61,47.8,-0.0025,no_data
C0020,short,2026-06-21 23:23:00+00:00,2026-06-21 23:58:00+00:00,2960.204,2949.1892,5.064449,5.570894,15.0,C,trail_sl,1,8,54.5619,7.1682,65.32,-1.4192,27.59,47.8,-0.0025,no_data
